habitat,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,class
m,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
g,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,p
m,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
m,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,e
u,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,e
d,x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,e
m,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
u,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,p
m,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
p,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,e
m,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
d,x,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,e
u,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,e
u,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,p
d,x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,e
m,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
g,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
p,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,e
u,x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,e
g,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,p
m,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,e
g,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
m,x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
m,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,e
p,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,e
p,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,e
g,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,e
g,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
m,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,e
u,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,p
u,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,p
m,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,e
g,f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,e
g,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,e
g,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,e
p,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,e
u,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,e
m,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,e
m,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
m,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
g,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
g,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,e
g,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,e
g,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,e
g,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,e
u,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,e
d,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,e
m,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
d,f,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,e
p,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,e
g,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
d,f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,e
d,x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,e
p,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,e
u,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,p
g,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,e
g,x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,e
g,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,p
u,f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,e
g,x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,e
g,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,e
g,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,e
g,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
g,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,e
u,s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,e
u,x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,e
g,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
m,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,e
g,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,e
g,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
g,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,e
g,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
g,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
g,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,e
g,b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
g,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,e
p,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,e
g,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
m,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
g,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,e
m,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,e
m,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
m,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,e
g,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,e
u,s,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,e
d,x,f,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,e
m,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
u,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,p
g,x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,e
u,s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,e
g,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,e
d,x,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,e
u,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,e
g,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,p
m,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
g,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,p
g,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,e
m,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
g,x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,e
g,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,e
g,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,e
g,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
m,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
g,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
m,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
d,f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,e
m,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
d,f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,e
u,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,p
d,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,e
g,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
g,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,p
g,b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,e
p,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,e
m,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,e
u,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,e
p,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,e
g,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,e
g,x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,e
g,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,e
m,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,e
g,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,e
m,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,e
g,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
g,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,e
g,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
u,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,e
d,x,s,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,e
g,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,e
g,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,e
g,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,e
m,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,e
g,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
m,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
g,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
u,x,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,e
g,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,e
g,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,e
p,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,e
g,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
m,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,e
g,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
u,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,e
g,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,e
d,x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,e
g,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,e
g,f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,e
m,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,e
m,b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,e
g,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
m,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
g,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
u,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,p
u,s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,e
u,f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,e
m,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
p,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,e
g,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,p
m,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
u,f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,e
g,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
p,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,e
g,x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,e
d,x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,e
m,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
d,f,s,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,e
m,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,e
u,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,e
g,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,e
m,x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
m,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
d,f,s,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,e
g,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
g,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,e
g,x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,e
p,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,e
u,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,p
g,b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
m,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
g,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
g,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,e
g,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,e
m,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,e
d,x,f,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,e
u,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,e
g,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,e
m,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
g,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
u,s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,e
m,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
g,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,p
g,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,e
d,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,e
m,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,e
g,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
g,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
u,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,p
g,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
u,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,e
u,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,p
p,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,e
u,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,e
g,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,e
d,x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,e
g,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,e
g,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
g,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,e
p,f,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,e
p,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,e
g,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,e
m,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,e
u,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,p
d,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,e
g,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
d,x,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,e
m,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,e
p,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,e
g,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,e
g,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,e
g,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,p
u,s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,e
m,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
g,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
m,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,e
u,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,e
m,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,e
g,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,e
m,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
g,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,e
g,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,p
g,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
m,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
d,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,e
u,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,e
g,f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,e
m,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,e
m,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,e
u,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,p
m,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
u,f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,p
g,x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,e
m,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,e
p,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,e
p,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,e
g,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,e
m,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,e
g,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,e
m,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,e
g,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,p
m,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
u,s,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,e
m,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
m,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
g,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,e
m,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
g,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
p,x,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,e
u,f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,e
u,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,e
g,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,e
m,x,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,e
g,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,e
m,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
m,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
m,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,e
